Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
1999,economics,Robert A. Mundell,24-Oct-32,Kingston ON,Canada,No Data," Columbia University, New York, NY, USA", International macroeconomics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1999 was awarded to Robert A. Mundell for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas.
1999,literature,Günter Grass,16-Oct-27,Danzig (now Gdansk),Free City of Danzig (now Poland),Federal Republic of Germany,No Data, German,The Nobel Prize in Literature,The Nobel Prize in Literature 1999 was awarded to Günter Grass whose frolicsome black fables portray the forgotten face of history.
1999,medicine,Günter Blobel,21-May-36,Waltersdorf (now Niegoslawice),Germany (now Poland),No Data," Rockefeller University, New York, NY, USA, Howard Hughes Medical Institute",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1999 was awarded to Günter Blobel for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell.
1999,peace,Médecins Sans Frontières,1971 in Paris,No Data,France,No Data," An independent, neutral and impartial emergency aid organization", Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1999 was awarded to Médecins Sans Frontières in recognition of the organization's pioneering humanitarian work on several continents.
1999,physics,Gerardus 't Hooft,05-Jul-46,Den Helder,the Netherlands,No Data," Utrecht University, Utrecht, the Netherlands", Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1999 was awarded jointly to Gerardus 't Hooft and Martinus J.G. Veltman for elucidating the quantum structure of electroweak interactions in physics
1999,physics,Martinus J.G. Veltman,27-Jun-31,Waalwijk,the Netherlands,No Data,, Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1999 was awarded jointly to Gerardus 't Hooft and Martinus J.G. Veltman for elucidating the quantum structure of electroweak interactions in physics
2000,chemistry,Alan G. MacDiarmid,14-Apr-27,Masterton,New Zealand,No Data," University of Pennsylvania, Philadelphia, PA, USA", Physical chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2000 was awarded jointly to Alan J. Heeger, Alan G. MacDiarmid and Hideki Shirakawa for the discovery and development of conductive polymers."
2000,chemistry,Alan J. Heeger,22-Jan-36,Sioux City IA,USA,No Data," University of California, Santa Barbara, CA, USA", Physical chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2000 was awarded jointly to Alan J. Heeger, Alan G. MacDiarmid and Hideki Shirakawa for the discovery and development of conductive polymers."
2000,chemistry,Hideki Shirakawa,20-Aug-36,Tokyo,Japan,No Data," University of Tsukuba, Tokyo, Japan", Physical chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2000 was awarded jointly to Alan J. Heeger, Alan G. MacDiarmid and Hideki Shirakawa for the discovery and development of conductive polymers."
2000,economics,Daniel L. McFadden,29-Jul-37,Raleigh NC,USA,No Data," University of California, Berkeley, CA, USA", Econometrics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2000 was divided equally between James J. Heckman for his development of theory and methods for analyzing selective samples and Daniel L. McFadden for his development of theory and methods for analyzing discrete choice.
2000,economics,James J. Heckman,19-Apr-44,Chicago IL,USA,No Data," University of Chicago, Chicago, IL, USA", Econometrics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2000 was divided equally between James J. Heckman for his development of theory and methods for analyzing selective samples and Daniel L. McFadden for his development of theory and methods for analyzing discrete choice.
2000,literature,Gao Xingjian,04-Jan-40,Ganzhou,China,France,No Data, Chinese,The Nobel Prize in Literature,"The Nobel Prize in Literature 2000 was awarded to Gao Xingjian for an ?uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama."
2000,medicine,Arvid Carlsson,25-Jan-23,Uppsala,Sweden,No Data," Göteborg University, Gothenburg, Sweden",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2000 was awarded jointly to Arvid Carlsson, Paul Greengard and Eric R. Kandel for their discoveries concerning signal transduction in the nervous system."
2000,medicine,Eric R. Kandel,07-Nov-29,Vienna,Austria,No Data," Columbia University, New York, NY, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2000 was awarded jointly to Arvid Carlsson, Paul Greengard and Eric R. Kandel for their discoveries concerning signal transduction in the nervous system."
2000,medicine,Paul Greengard,11-Dec-25,New York NY,USA,No Data," Rockefeller University, New York, NY, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2000 was awarded jointly to Arvid Carlsson, Paul Greengard and Eric R. Kandel for their discoveries concerning signal transduction in the nervous system."
2000,peace,Kim Dae-jung,03-Dec-25,Mokpo,Korea (now South Korea),South Korea, President of South Korea," Humanitarian work, negotiation",The Nobel Peace Prize,"The Nobel Peace Prize 2000 was awarded to Kim Dae-jung for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular."
2000,physics,Herbert Kroemer,25-Aug-28,Weimar,Germany,No Data," University of California, Santa Barbara, CA, USA"," Condensed matter physics, instrumentation",The Nobel Prize in Physics,The Nobel Prize in Physics 2000 was awarded for basic work on information and communication technology with one half jointly to Zhores I. Alferov and Herbert Kroemer for developing semiconductor heterostructures used in high-speed- and opto-electronics and the other half to Jack S. Kilby for his part in the invention of the integrated circuit.
2000,physics,Jack S. Kilby,08-Nov-23,Jefferson City MO,USA,No Data," Texas Instruments, Dallas, TX, USA", Electronics technology,The Nobel Prize in Physics,The Nobel Prize in Physics 2000 was awarded for basic work on information and communication technology with one half jointly to Zhores I. Alferov and Herbert Kroemer for developing semiconductor heterostructures used in high-speed- and opto-electronics and the other half to Jack S. Kilby for his part in the invention of the integrated circuit.
2000,physics,Zhores I. Alferov,15-Mar-30,Vitebsk Belorussia,USSR (now Belarus),No Data," A.F. Ioffe Physico-Technical Institute, St. Petersburg, Russia"," Condensed matter physics, instrumentation",The Nobel Prize in Physics,The Nobel Prize in Physics 2000 was awarded for basic work on information and communication technology with one half jointly to Zhores I. Alferov and Herbert Kroemer for developing semiconductor heterostructures used in high-speed- and opto-electronics and the other half to Jack S. Kilby for his part in the invention of the integrated circuit.
2001,chemistry,K. Barry Sharpless,28-Apr-41,Philadelphia PA,USA,No Data," The Scripps Research Institute, La Jolla, CA, USA"," Organic chemistry, industrial chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2001 was divided, one half jointly to William S. Knowles and Ryoji Noyori for their work on chirally catalysed hydrogenation reactions and the other half to K. Barry Sharpless for his work on chirally catalysed oxidation reactions."
2001,chemistry,Ryoji Noyori,03-Sep-38,Kobe,Japan,No Data," Nagoya University, Nagoya, Japan"," Organic chemistry, industrial chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2001 was divided, one half jointly to William S. Knowles and Ryoji Noyori for their work on chirally catalysed hydrogenation reactions and the other half to K. Barry Sharpless for his work on chirally catalysed oxidation reactions."
2001,chemistry,William S. Knowles,01-Jun-17,Taunton MA,USA,No Data,," Organic chemistry, industrial chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2001 was divided, one half jointly to William S. Knowles and Ryoji Noyori for their work on chirally catalysed hydrogenation reactions and the other half to K. Barry Sharpless for his work on chirally catalysed oxidation reactions."
2001,economics,A. Michael Spence,0 1943,Montclair NJ,USA,No Data," Stanford University, Stanford, CA, USA", Economics of information,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2001 was awarded jointly to George A. Akerlof, A. Michael Spence and Joseph E. Stiglitz for their analyses of markets with asymmetric information."
2001,economics,George A. Akerlof,17-Jun-40,New Haven CT,USA,No Data," University of California, Berkeley, CA, USA", Economics of information,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2001 was awarded jointly to George A. Akerlof, A. Michael Spence and Joseph E. Stiglitz for their analyses of markets with asymmetric information."
2001,economics,Joseph E. Stiglitz,09-Feb-43,Gary IN,USA,No Data," Columbia University, New York, NY, USA", Economics of information,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2001 was awarded jointly to George A. Akerlof, A. Michael Spence and Joseph E. Stiglitz for their analyses of markets with asymmetric information."
2001,literature,Sir Vidiadhar Surajprasad Naipaul,17-Aug-32,No Data,Trinidad,United Kingdom,No Data, English,The Nobel Prize in Literature,The Nobel Prize in Literature 2001 was awarded to V. S. Naipaul for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories.
2001,medicine,Leland H. Hartwell,30-Oct-39,Los Angeles CA,USA,No Data," Fred Hutchinson Cancer Research Center, Seattle, WA, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2001 was awarded jointly to Leland H. Hartwell, Tim Hunt and Sir Paul M. Nurse for their discoveries of key regulators of the cell cycle."
2001,medicine,Sir Paul M. Nurse,25-Jan-49,Norwich,United Kingdom,No Data," Imperial Cancer Research Fund, London, United Kingdom",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2001 was awarded jointly to Leland H. Hartwell, Tim Hunt and Sir Paul M. Nurse for their discoveries of key regulators of the cell cycle."
2001,medicine,Tim Hunt,19-Feb-43,Neston,United Kingdom,No Data," Imperial Cancer Research Fund, London, United Kingdom",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2001 was awarded jointly to Leland H. Hartwell, Tim Hunt and Sir Paul M. Nurse for their discoveries of key regulators of the cell cycle."
2001,peace,Kofi Annan,08-Apr-38,Kumasi,Gold Coast (now Ghana),Ghana, U.N. Secretary-General, World organizing,The Nobel Peace Prize,The Nobel Peace Prize 2001 was awarded jointly to United Nations (U.N.) and Kofi Annan for their work for a better organized and more peaceful world
2001,peace,United Nations (U.N.),1945 in New York,NY,USA,No Data,, World organizing,The Nobel Peace Prize,The Nobel Peace Prize 2001 was awarded jointly to United Nations (U.N.) and Kofi Annan for their work for a better organized and more peaceful world
2001,physics,Carl E. Wieman,26-Mar-51,Corvallis OR,USA,No Data," University of Colorado, JILA, Boulder, CO, USA",No Data,The Nobel Prize in Physics,"The Nobel Prize in Physics 2001 was awarded jointly to Eric A. Cornell, Wolfgang Ketterle and Carl E. Wieman for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates."
2001,physics,Eric A. Cornell,19-Dec-61,Palo Alto CF,USA,No Data," University of Colorado, JILA, Boulder, CO, USA", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 2001 was awarded jointly to Eric A. Cornell, Wolfgang Ketterle and Carl E. Wieman for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates."
2001,physics,Wolfgang Ketterle,21-Oct-57,Heidelberg,West Germany,No Data," Massachusetts Institute of Technology (MIT), Cambridge, MA, USA", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 2001 was awarded jointly to Eric A. Cornell, Wolfgang Ketterle and Carl E. Wieman for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates."
